"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1152177646","9787559825056,7559825052","音乐·媒介·诗体 : 汉魏六朝乐府论稿 = Yinyue meijie shiti : HanWei liuchao yuefu lungao","吴大顺, 1968- author","2019","chi","Book","PrintBook","Di 1 ban",1,"广西师范大学出版社","Guilin","Yue fu (Chinese poetry) History and criticism,Chinese poetry 220-589 History and criticism,Yuefu (Poésie chinoise) Histoire et critique,Poésie chinoise 220-589 Histoire et critique,Chinese poetry,Yue fu (Chinese poetry),Criticism, interpretation, etc,220-589","","否"
"1133215329","9787559822680,7559822681","炖马靴 : 短篇小说30年精选","迟子建, 1964- author","2019","chi","Book","PrintBook","Di 1 ban",3,"广西师范大学出版社","Guilin","Short stories, Chinese,Nouvelles chinoises","","否"
"1135494464","9787559816078,755981607X","日本關西大學長澤規矩也文庫藏稀見中國戲曲俗曲彙刊","黃仕忠","2019","chi","Book","PrintBook","Di 1 ban",2,"广西师范大学出版社","Guilin Shi","Kansai Daigaku. Toshokan,Kansai Daigaku,Qu (Chinese literature),Folk drama, Chinese,Chinese drama,Qu (Littérature chinoise),Théâtre populaire chinois,Théâtre chinois,Drama,Catalogs,Sources,Théâtre","长泽规矩也是日本书志学的创始人, 1926年至1932年间, 曾六次前往中国, 并且每次在中国逗留二个月以上, 其在中国期间, 为自己及日本公私图书机构收购了大量中国文献 典籍, 尤其以戏曲及小说等俗文学类图书文献为大宗.其 个人的主要兴趣在戏曲小说及俗曲文献的收藏, 其私人藏书的主体部分在1953年出售给东京大学, 成为著名的'双红堂文库'珍藏.但作为文献学, 版本目录研究的大家, 长泽手边仍保留了一批最珍稀的文献, 作为自己版本学研究的样品, 该部分保留版本长期不为外人所知.1980年代, 长泽去世, 这些文献和他的其他目录书志等有关文献一起, 售归关西大学, 成为'长泽(规矩也)文库', 因为尚无公开目录, 近年来经过黄仕忠教授的发掘和撰文介绍, 才为学人所知","否"
"1340011144","9787559832719,7559832717","出土文獻与中國中古史研究","張銘心, 1964- author","2022","chi","Book","PrintBook","Di 1 ban",2,"廣西師範大學出版社","Guilin","Inscriptions, Chinese China History and criticism,Manuscripts, Chinese China,Inscriptions chinoises Chine Histoire et critique,Antiquities,Inscriptions, Chinese,Manuscripts, Chinese,China Antiquities,Chine Antiquités,China,Criticism, interpretation, etc","","否"
"1252785855","9787559833457,7559833454,9787559833488,7559833489","十三邀. 3, ""我们都在给大问题做注脚"" = Thirteen talks","许知远, 1976- author","2021","chi","Book","PrintBook","Di 1 ban",1,"广西师范大学出版社","Guilin Shi","Celebrities China Interviews,Scholars Interviews,Célébrités Chine Entretiens,Savants Entretiens,Celebrities,Scholars,China,Interviews","","否"
"1031203860","9787559806000,7559806007","中国诗人诗想录","陈卫, 1970- author","2018","chi","Book","PrintBook","Di 1 ban",2,"广西师范大学出版社","Guilin","Chinese poetry 20th century History and criticism,Poésie chinoise 20e siècle Histoire et critique,Chinese poetry,Criticism, interpretation, etc,1900-1999","本著为近年中国诗歌研究的一个结集.上辑为中国现代诗人诗歌研究.具体对象为卞之琳, 何其芳, 艾青, 冯至, 穆旦, 食指, 北岛等.从诗歌文本出发, 关注时代思潮演变和中西方文化的影响, 采用细读方式, 辨析诗歌的具体内涵, 对已有诗歌史的写作进行更为深入的补充.下辑侧重对中国当代诗歌发展的观照.以宏观视野描述诗歌的性质变化, 语言探索的多种途径, 传播方式给诗歌带来的影响等, 针对一些现象及问题, 提出未来的诗歌写作及研究方向","否"
"1260124781","9787559832702,7559832709","文学 : 八个关键词","张炜, 1956 November 7- author","2021","chi","Book","PrintBook","Di 1 ban",2,"广西师范大学出版社","Guilin","Literature History and criticism,Chinese literature History and criticism,Creative writing,Littérature chinoise Histoire et critique,Création littéraire,Littérature Histoire et critique,Literature,Chinese literature,Criticism, interpretation, etc","","否"
"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1082188356","9787559813459,7559813453","林语堂传 : 中国文化重生之道 = Lin Yutang zhuan : Zhongguo wenhua chongsheng zhi dao","钱锁桥, author","2019","chi","Book","PrintBook","Di 1 ban",1,"广西师范大学出版社","Guilin","Lin, Yutang, 1895-1976,China History 20th century Biography,Chine Histoire 20e siècle Biographies,China,Chinese language materials,Biography,Biographies,History,1900-1999","1895年, 林语堂出生在福建漳州的山村, 自十岁时离开故土, 毕其一生, 辗转旅寄. 在国内, 考究语言, 创办报刊, 为当时文坛一开"" 幽默"" 新风; 在国外, 针砭时事, 引介东方, 以独有见地诠释"" 吾国与吾民"" . 这部传记, 笔路延绵, 跋涉文山史海, 溯沿思想轨迹, 寻绎其生平, 藉以重新发现不仅仅是作为文学家的林语堂, 更欲还原出兼批评家, 哲学家, 思想家等多重身份的林语堂. 鲁迅, 胡适, 林语堂, 他们的精神遗产, 无疑是二十世纪中国的重要知识思想资源. 而林语堂留赠后人有形及无形的一切, 将对新世纪的中国, 乃至世界, 别有深远的启发意义, 亦为跨文化交际与互动带来崭新的理解","否"
"1100047558","9787559805492,7559805493","元杂剧的明代改编本研究","孔杰斌, author","2018","chi","Book","PrintBook","Di 1 ban",2,"广西师范大学出版社","Guilin","Ju qu History and criticism,Qu (Chinese literature) Yuan dynasty, 1260-1368 History and criticism,Qu (Chinese literature) Ming dynasty, 1368-1644 History and criticism,Juqu Histoire et critique,Qu (Littérature chinoise) 1260-1368 (Dynastie des Yuan) Histoire et critique,Qu (Littérature chinoise) 1368-1644 (Dynastie des Ming) Histoire et critique,Za ju Wen xue yan jiu Zhong guo,Ju qu,Qu (Chinese literature),Qu (Chinese literature) Ming dynasty,Yuan Dynasty (China),Criticism, interpretation, etc,1260-1644","Ben shu dui yuan za ju de "" ming gai ben "" jin xing le quan mian kao cha, tan jiu le ming ren dui yuan za ju "" gai shen me "" "" ru he gai "" "" he yi ru ci gai "" de xi lie wen ti, gou le le yuan dai za ju zai ming dai jie shou yu chuan bo de mian mao, chu bu jie shi le yuan dai za ju xiang ming dai xi qu zhuan bian de fa zhan gui lü,本书针对报业转型进程中产生的困惑, 特别是在网络和新媒体冲击下纸媒面对的严峻形势, 从报业经营管理的视角切入, 提出了"" 技术驱动, 用戶导向"" 这个报媒转型的双主线, 梳理了国内报业经营管理的发展演变历史, 分析其在转型实践中路径选择的利弊得失, 探究改变新闻生产方式,追求新闻精品, 注重社交型,关系型,算法型等技术在报媒数字化中应用, 以及非核心内容的资本化运作等各种转型路径的优劣及成效, 理性思考当下需要解决的主要问题, 力图为处于衰退期的报业摆脫困境,探寻发展新路径提供新思路和理论借鉴, 并最终建构报业全媒体转型的"" 一体化"" 的理论模型","否"
"1264134434","9787559830302,7559830307","前『五四』时代的文化符号 : 商务印书馆与中国近代小说","文娟, 1977- author","2021","chi","Book","PrintBook","Di 1 ban",3,"广西师范大学出版社","Guilin Shi","Shang wu yin shu guan,Chinese fiction History and criticism 19th century,Chinese fiction History and criticism 20th century,Roman chinois Histoire et critique 19e siècle,Roman chinois Histoire et critique 20e siècle,Chinese fiction,Criticism, interpretation, etc,1800-1999","","否"
"1139492308","9787559812407,7559812406","殷墟子卜辞的整理及文字研究","杨军会, author","2019","chi","Book","PrintBook","Di 1 ban",2,"广西师范大学出版社","Guilin","Inscriptions, Chinese China Yinxu (Extinct city) History and criticism,Oracle bones China Yinxu (Extinct city),Jia gu wen Yan jiu,Inscriptions, Chinese,Oracle bones,China Anyang Xian,Criticism, interpretation, etc","本书主要对殷墟子卜辞(贵族卜辞)进行了释文整理和文字研究.殷墟子卜辞主要包括传统子卜辞和花园庄东地甲骨卜辞两大类, 传统子卜辞又包括午组, 妇女组, 子组, 圆体类, 劣体类等小类.本书在子卜辞校释与整理的基础上, 对各类子卜辞的用字特点和字形特征进行了研究, 如对特征字, 字体风格, 用字习惯, 合文, 倒文, 重文, 缺刻及特殊写法用法等进行了整理和分析, 并对花园庄东地甲骨文字形的特殊性, 异体字, 新见文字现象等做了专门讨论","否"
"1226475436","9787559831958,7559831958","民国报刊词话叙录","马强, 1983- author","2020","chi","Book","PrintBook","Di 1 ban",2,"广西师范大学出版社","Guilin","Ci (Chinese poetry) 20th century History and criticism,Chinese poetry 20th century History and criticism,Chinese newspapers China History 20th century,Ci (Poésie chinoise) 20e siècle Histoire et critique,Poésie chinoise 20e siècle Histoire et critique,Journaux chinois Chine Histoire 20e siècle,Civilization,Chinese newspapers,Chinese poetry,Ci (Chinese poetry),China Civilization 1912-1949,Chine Civilisation 1912-1949,China,Criticism, interpretation, etc,History,1900-1999","","否"
"1051095203","9787559810069,7559810063","半个父亲在疼","庞余亮, 1967- author","2018","chi","Book","PrintBook","Di 1 ban",4,"广西师范大学出版社","Guilin","San wen ji Zhong guo Dang dai","""半个父亲在疼""是庞余亮第一本自传体亲情散文集, 共分为四辑. 第一辑"" 父亲在天上"" , 是献给父亲的文字. 分别从卖甘蔗的船上,种黄豆,过年, 以及父亲中风后等不同的视角描写了一个严厉,暴躁,任劳任怨, 偶尔也会表现出温柔一面的父亲形象. 第二辑"" 报母亲大人书"" , 是献给母亲的文字. 从母亲的日常劳作, 例如捣石臼,做汤圆和慈姑等, 描写了一个隐忍,温柔,坚强的母亲形象. 第三辑"" 绕泥操场一圈"" , 是秘密成长笔记. 从老师的视角描写乡村校园里孩子们的成长逸事, 生动,有趣, 又令人省思. 第四辑"" 永记蔷薇花"" , 是生活之泪的结晶. 描写了读书,观影,旅途,书店的搬迁, 以及友人相聚等内容","否"
"1159412704","9787559829344,7559829341","吐魯番出土墓誌彙考","张铭心, 1964- author","2020","chi","Book","PrintBook","Di 1 ban",2,"广西师范大学出版社","Guilin","Inscriptions, Chinese China Turpan Shi,Epitaphs China Turpan Shi,Tombs China Turpan Shi,Inscriptions chinoises Chine Turfan,Épitaphes Chine Turfan,Tombeaux Chine Turfan,Tombs,Civilization,Epitaphs,Inscriptions, Chinese,Turpan Shi (China) Civilization,China Turpan Shi","","否"
"1077379481","9787559813121,7559813127","锦上添叶","黄咏梅, author","2018","chi","Book","PrintBook","Di 1 ban",2,"广西师范大学出版社","Guilin","San wen ji Zhong guo Dang dai,Essays","本书收入了作家黄咏梅近年来发表在报刊杂志的散文随笔. 千姿百态的世相, 百感交集的人生, 永参不透的情爱 ... 这些构成了生活的迷魅, 作者用抒情又充满机趣的文字, 记录下这些人生的点滴感受和思考, 从凡俗的生活中发现被人们忽略的美. 生命华美如锦袍, 你可以蚤满华袍, 也可以让它锦上添叶. 人生在世, 总是要背负很多的东西, 诗意与庸常, 相互对照又彼此成全, 这正是生活的真相","否"
"1351886854","9787559853318,7559853315","爱与真的启示 : 张爱玲的晚期风格","陈建华, 1947- author","2022","chi","Book","PrintBook","Di 1 ban",2,"广西师范大学出版社","Guilin","Zhang, Ailing Criticism and interpretation,Zhang, Ailing,Chinese fiction 20th century History and criticism,Roman chinois 20e siècle Histoire et critique,Chinese fiction,Criticism, interpretation, etc,1900-1999","陈建华教授是国际领域研究张爱玲及""五四""以来中国文学的知名学者, 借助萨义德的""晚期风格""概念, 作者以五篇长论文, 以""小团圆""和""对照记""等代表作为例剖析了张爱玲移居海外直至去世这二十余年里的小说创作历程和风格: 尊崇真实, 徘徊于写实与超现实之间, 既从中国古老记忆中汲取含蓄的诗学传统, 也从西方现代主义中师法叙事手法, 最终形成对现代精神的中国式理解以及其华丽为表, 苍凉为里的书写范式. 从""传奇""到""小团圆"", 从与塞尚到与""恶之花"", 作者对张爱玲的创作历程及张氏写作与中外文艺的关系作出了全新的解读, 尤其对张爱玲晚期风格的细致梳理和探讨","否"
"1235574712","9787559830883,7559830889","周清澍文集 = Zhou Qingshu wenji","周清澍, 1931- author","2020","chi","Book","PrintBook","Di 1 ban",1,"广西师范大学出版社","Guilin","Yuan Dynasty (China),China History Yuan dynasty, 1260-1368,Chine Histoire 1260-1368 (Dynastie des Yuan),China,History,1260-1368","","否"
"1253335887","9787559827999,7559827993","声誉","唐诺, 1958- author","2021","chi","Book","PrintBook","Di 1 ban",2,"广西师范大学出版社","Guilin","Chinese essays 21st century,Essais chinois 21e siècle,Chinese essays,2000-2099","""Tang Nuo's new work ""Reputation"", this simple reflection on reputation, wealth and power, really cares about the current appearance and situation of reputation. Which one is the current situation where reputation is more difficult, a world ruled by wealth or a world ruled by power? Tang Nuo used his own unique method to try to gather and connect the scattered common sense one by one, fill in the gaps, and consolidate as much as possible, hoping that people would ""return"" to their more appropriate positions.""-- Tsai Fong website","否"
